key,value,count,percent_of_total_changes_for_key
building,Buddha_Garden_Hotel_Pvt_Ltd,2,0.0
building,Business_Center,2,0.0
building,Business_Management_Consultant,2,0.0
building,C,2,0.0
building,COnstruction,2,0.0
building,Computer_Support_and_Services,2,0.0
building,Consultant,2,0.0
building,Courier_Service,2,0.0
building,Culture,2,0.0
building,Department of Urban Development and Building Construction,2,0.0
building,Electric_Utility_Company,2,0.0
building,Electronics_Store,2,0.0
building,Embassy_of_the_Republic_of_Indonesia,2,0.0
building,Exporter,2,0.0
building,FedEx_Express,2,0.0
building,Festoon_Hotel_Pvt._Ltd,2,0.0
building,Fountain,2,0.0
building,Fuel,2,0.0
building,Guest_House_&_Restaurant,2,0.0
building,Himalayan_Care_Hands,2,0.0
building,Himalayan_Rivers_Alliance,2,0.0
building,Hotel_Access_Nepal_Pvt._Ltd,2,0.0
building,Hotel_Blue_Horizon,2,0.0
building,Hotel_Horizon_Kathmandu_(P)_Ltd,2,0.0
building,Hotel_Lai_Lai,2,0.0
building,Hotel_Lucky_Star,2,0.0
building,Hotel_Moonlight,2,0.0
building,Hotel_Tradition,2,0.0
building,House,2,0.0
building,Indoor_Lodging,2,0.0
building,Just_a_wall,2,0.0
building,Kindergarten,2,0.0
building,Laboratory,2,0.0
building,LadiesLand,2,0.0
building,Maison prive,2,0.0
building,Manufacturer,2,0.0
building,Medical_Supply_Store,2,0.0
building,Mi_Casa_Hotel_in_Nepal,2,0.0
building,Money_Transfer_Service,2,0.0
building,Mrityunjay Mandir,2,0.0
building,Namaste_Nepal_Hotels_And_Apartment,2,0.0
building,National Human Rights Commission,2,0.0
building,Not Square,2,0.0
building,Office_Building,2,0.0
building,Party Palace,2,0.0
building,Pashupati_Plaza,2,0.0
building,Performing_Arts_Theater,2,0.0
building,Pharmacy,2,0.0
